15986.000,2.490,141.133
15931.000,2.480,141.129
15872.000,2.470,141.126
15822.000,2.460,141.121
15770.000,2.450,141.116
15717.000,2.440,141.112
15672.000,2.430,141.108
15621.000,2.420,141.103
15558.000,2.410,141.099
15509.000,2.400,141.095
15451.000,2.390,141.091
15402.000,2.380,141.087
15338.000,2.370,141.083
15282.000,2.360,141.079
15230.000,2.350,141.075
15176.000,2.340,141.070
15114.000,2.330,141.066
15056.000,2.320,141.061
15013.000,2.310,141.056
14955.000,2.300,141.049
14906.000,2.290,141.036
14843.000,2.280,140.992
14795.000,2.270,0.000
14739.000,2.260,0.000
14691.000,2.250,0.000
14634.000,2.240,0.000
14582.000,2.230,0.000
14526.000,2.220,0.000
